"시군구별",2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"춘천시",94,55,75,85,85,102,1330,1412,1332,1292,1244,1186,1041,1029,1048,1017
"원주시",102,138,96,122,134,131,1708,1789,1763,1740,1645,1698,1514,1482,1457,1491
"강릉시",33,49,44,55,62,57,983,977,920,924,876,893,801,799,691,626
"동해시",22,25,23,21,35,32,481,475,447,419,375,382,327,339,300,301
"태백시",11,12,7,12,17,11,232,215,192,209,158,167,147,86,99,126
"속초시",25,21,21,31,26,35,442,382,353,358,344,316,312,305,309,333
"삼척시",16,13,12,14,17,14,336,336,289,274,298,257,208,181,190,211
"홍천군",0,0,0,0,0,0,362,337,304,322,313,258,227,237,229,0
"횡성군",0,0,0,0,0,0,211,170,169,172,174,184,131,117,107,0
"영월군",0,0,0,0,0,0,144,168,182,139,145,138,106,95,100,0
"평창군",0,0,0,0,0,0,166,195,184,184,164,132,126,112,115,0
"정선군",0,0,0,0,0,0,217,184,171,157,171,142,113,110,99,0
"철원군",0,0,0,0,0,0,274,289,295,272,287,250,207,189,178,0
"화천군",0,0,0,0,0,0,212,236,190,196,190,177,123,131,151,0
"양구군",0,0,0,0,0,0,156,185,168,172,152,135,113,99,102,0
"인제군",0,0,0,0,0,0,235,246,232,210,216,205,169,142,187,0
"고성군",0,0,0,0,0,0,149,171,178,137,140,130,98,93,111,0
"양양군",0,0,0,0,0,0,147,109,99,118,102,112,105,76,99,0
"홍천군",22,18,15,21,18,28,-,-,-,-,-,-,-,-,-,255
"횡성군",8,7,10,12,15,11,-,-,-,-,-,-,-,-,-,125
"영월군",6,6,8,9,7,6,-,-,-,-,-,-,-,-,-,83
"평창군",14,9,8,8,11,14,-,-,-,-,-,-,-,-,-,133
"정선군",3,8,5,12,13,7,-,-,-,-,-,-,-,-,-,104
"철원군",14,10,10,12,16,11,-,-,-,-,-,-,-,-,-,161
"화천군",10,8,5,12,6,9,-,-,-,-,-,-,-,-,-,103
"양구군",4,5,2,11,9,10,-,-,-,-,-,-,-,-,-,96
"인제군",15,12,12,8,12,17,-,-,-,-,-,-,-,-,-,146
"고성군",10,4,6,7,6,11,-,-,-,-,-,-,-,-,-,94
"양양군",6,6,8,12,10,13,-,-,-,-,-,-,-,-,-,89
"충청북도",385,459,430,509,576,544,8774,8872,8334,7990,7827,7239,6682,5882,6185,6212
"청주시",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"상당구",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"흥덕구",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"충주시",37,57,54,79,69,75,1008,1070,934,954,1003,870,811,747,783,748
"제천시",25,39,23,29,33,26,659,634,619,569,576,531,417,391,449,416
"청주시",225,267,264,276,360,309,5141,5112,4810,4532,4387,4181,3938,3475,3596,3672
"상당구",52,44,57,57,90,67,914,842,782,671,685,675,727,686,662,783
"서원구",36,48,45,54,76,50,1261,1177,1037,1007,973,792,765,651,681,692
"흥덕구",82,99,103,105,115,112,1607,1637,1551,1494,1424,1452,1396,1227,1291,1268
"청원구",55,76,59,60,79,80,1359,1456,1440,1360,1305,1262,1050,911,962,929
"청원군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"보은군",0,0,0,0,0,0,128,146,115,125,97,103,75,60,78,0
"옥천군",0,0,0,0,0,0,242,202,187,181,170,167,135,114,114,0
"영동군",0,0,0,0,0,0,178,190,188,166,189,122,97,99,100,0
"진천군",0,0,0,0,0,0,388,387,362,420,430,438,430,375,376,0
"괴산군",0,0,0,0,0,0,145,168,155,149,132,116,123,78,88,0
"음성군",0,0,0,0,0,0,546,569,589,533,508,421,395,320,335,0
"단양군",0,0,0,0,0,0,125,125,113,113,104,100,66,80,66,0
"증평군",0,0,0,0,0,0,214,269,262,248,231,190,195,143,200,0
"보은군",7,7,7,4,7,9,-,-,-,-,-,-,-,-,-,79
"옥천군",11,7,6,13,11,9,-,-,-,-,-,-,-,-,-,112
"영동군",8,7,10,10,7,4,-,-,-,-,-,-,-,-,-,98
"진천군",24,29,25,30,28,44,-,-,-,-,-,-,-,-,-,395
"괴산군",5,5,5,11,7,10,-,-,-,-,-,-,-,-,-,86
"음성군",23,21,20,28,38,29,-,-,-,-,-,-,-,-,-,350
"단양군",6,2,5,11,6,4,-,-,-,-,-,-,-,-,-,63
"증평군",14,18,11,18,10,25,-,-,-,-,-,-,-,-,-,193
"충청남도",568,592,558,717,761,763,12040,12331,11792,10961,10970,9826,8493,8016,8017,8264
"천안시",194,175,206,254,278,265,4084,4271,4262,3907,4045,3687,3316,2996,2785,2875
"동남구",62,68,80,83,90,85,1512,1536,1488,1245,1380,1210,1099,887,920,1016
"서북구",132,107,126,171,188,180,2572,2735,2774,2662,2665,2477,2217,2109,1865,1859
"공주시",26,22,15,18,21,33,538,484,403,383,399,362,296,260,300,256
"보령시",23,32,14,22,33,29,474,508,488,444,430,408,325,313,319,331
"아산시",79,106,111,145,158,150,2108,2176,1973,1921,1800,1554,1339,1419,1421,1512
"서산시",46,57,44,77,58,61,1036,1037,1007,977,1003,873,742,759,751,704
"논산시",31,32,25,35,39,36,545,558,529,484,489,428,361,314,356,402
"계룡시",15,11,7,17,20,19,143,171,171,130,123,119,119,120,132,171
"당진시",54,61,47,49,60,57,1183,1228,1124,1047,1062,851,756,688,725,748
"금산군",0,0,0,0,0,0,225,229,197,149,165,170,110,107,134,0
"연기군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"부여군",0,0,0,0,0,0,269,264,237,220,206,169,145,149,162,0
"서천군",0,0,0,0,0,0,208,209,188,172,175,153,119,110,105,0
"청양군",0,0,0,0,0,0,129,112,115,108,93,91,72,71,67,0
"홍성군",0,0,0,0,0,0,409,454,522,494,490,408,348,295,325,0
"예산군",0,0,0,0,0,0,390,338,306,283,264,291,240,200,214,0
"태안군",0,0,0,0,0,0,299,292,270,242,226,262,205,215,221,0
"당진군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"금산군",3,9,10,6,16,10,-,-,-,-,-,-,-,-,-,123
"부여군",8,9,12,8,12,9,-,-,-,-,-,-,-,-,-,139
"서천군",10,11,8,13,10,14,-,-,-,-,-,-,-,-,-,142
"청양군",5,9,6,9,7,7,-,-,-,-,-,-,-,-,-,77
"홍성군",28,18,20,32,27,42,-,-,-,-,-,-,-,-,-,322
"예산군",28,24,21,19,18,24,-,-,-,-,-,-,-,-,-,287
"태안군",18,16,12,13,4,7,-,-,-,-,-,-,-,-,-,175
"전북특별자치도",415,411,338,454,521,529,9211,9060,8216,7817,7219,7005,6053,5325,5394,5483
"전주시",176,157,137,189,223,207,3457,3406,3084,2911,2944,2828,2447,2185,2299,2210
