"시군구별",2014,2015,2016,2017,2018,2019,2020,2021,2022
"시군구별",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율
"청원구",1.549,1.667,1.710,1.461,1.438,1.208,1.075,1.023,0.909
"청원군",-,-,-,-,-,-,-,-,-
"보은군",1.469,1.536,1.550,1.507,1.585,0.975,1.184,0.818,0.956
"옥천군",1.324,1.254,1.277,1.026,0.894,0.957,1.000,0.918,0.721
"영동군",1.215,1.210,1.192,1.621,1.575,1.325,1.364,1.114,0.998
"진천군",1.561,1.620,1.412,1.346,1.331,1.426,1.174,1.118,1.107
"괴산군",1.117,0.980,0.931,1.023,0.847,0.945,0.672,0.781,0.798
"음성군",1.427,1.517,1.561,1.374,1.158,1.152,0.911,0.867,0.820
"단양군",1.073,1.226,0.985,0.835,0.999,0.920,0.781,0.806,0.745
"증평군",1.772,1.832,1.802,1.669,1.506,1.303,1.005,0.951,0.883
"충청남도",1.421,1.480,1.395,1.276,1.186,1.112,1.029,0.963,0.909
"천안시",1.301,1.380,1.298,1.164,1.105,1.017,0.980,0.935,0.842
"동남구",1.279,1.320,1.206,1.012,0.995,0.955,0.878,0.825,0.769
"서북구",1.314,1.417,1.351,1.246,1.159,1.046,1.025,0.985,0.875
"공주시",1.171,1.147,1.049,1.147,1.068,1.187,1.024,0.873,0.836
"보령시",1.384,1.303,1.328,1.170,1.028,1.099,0.987,0.958,0.967
"아산시",1.603,1.692,1.569,1.397,1.268,1.154,0.990,0.904,0.906
"서산시",1.726,1.752,1.668,1.525,1.467,1.314,1.255,1.179,1.209
"논산시",1.323,1.384,1.246,1.191,1.179,1.175,0.984,0.957,0.881
"계룡시",1.324,1.305,1.661,1.441,1.190,1.076,0.910,0.830,0.885
"당진시",1.838,1.949,1.767,1.654,1.494,1.394,1.254,1.178,1.112
"금산군",1.405,1.290,1.295,1.157,1.087,1.149,1.070,0.920,0.868
"연기군",-,-,-,-,-,-,-,-,-
"부여군",1.193,1.311,1.150,1.086,0.909,0.853,0.809,0.680,0.747
"서천군",1.288,1.213,1.147,1.137,1.178,1.047,1.123,1.100,0.978
"청양군",1.501,1.497,1.196,1.098,1.055,1.025,0.978,1.047,0.896
"홍성군",1.226,1.354,1.436,1.371,1.258,1.189,1.204,1.124,0.923
"예산군",1.176,1.160,0.960,1.054,0.870,1.047,0.921,0.780,0.827
"태안군",1.268,1.321,1.372,1.092,1.105,0.932,1.002,0.875,0.884
"당진군",-,-,-,-,-,-,-,-,-
"전북특별자치도",1.329,1.352,1.251,1.151,1.044,0.971,0.909,0.850,0.817
"전주시",1.233,1.255,1.149,1.054,0.954,0.883,0.811,0.786,0.730
"완산구",1.232,1.197,1.135,0.995,0.872,0.778,0.722,0.685,0.647
"덕진구",1.235,1.327,1.168,1.126,1.049,0.992,0.902,0.889,0.812
"군산시",1.473,1.495,1.324,1.177,1.038,0.971,0.954,0.860,0.877
"익산시",1.273,1.341,1.213,1.158,1.030,0.908,0.851,0.791,0.773
"정읍시",1.302,1.338,1.318,1.125,1.143,1.063,0.866,0.889,0.898
