항목,연령구분5세,시점,값
H40,5세미만,2015년 12월,60
J00,10_14세,2015년 12월,28741
J00,5_9세,2015년 12월,68237
J00,5세미만,2015년 12월,174753
J01,10_14세,2015년 12월,49412
J01,5_9세,2015년 12월,134346
J01,5세미만,2015년 12월,200267
J02,10_14세,2015년 12월,42478
J02,5_9세,2015년 12월,82105
J02,5세미만,2015년 12월,156507
J03,10_14세,2015년 12월,60242
J03,5_9세,2015년 12월,105607
J03,5세미만,2015년 12월,138697
J04,10_14세,2015년 12월,27101
J04,5_9세,2015년 12월,41308
J04,5세미만,2015년 12월,47543
J06,10_14세,2015년 12월,48482
J06,5_9세,2015년 12월,91296
J06,5세미만,2015년 12월,189504
K12,10_14세,2015년 12월,3867
K12,5_9세,2015년 12월,6279
K12,5세미만,2015년 12월,6223
H10,10_14세,2016년 01월,15957
H10,5_9세,2016년 01월,29304
H10,5세미만,2016년 01월,48957
H16,10_14세,2016년 01월,4274
H16,5_9세,2016년 01월,4019
H16,5세미만,2016년 01월,4061
H20,10_14세,2016년 01월,140
H20,5_9세,2016년 01월,54
H20,5세미만,2016년 01월,20
H30,10_14세,2016년 01월,16
H30,5_9세,2016년 01월,6
H30,5세미만,2016년 01월,1
H40,10_14세,2016년 01월,606
H40,5_9세,2016년 01월,214
H40,5세미만,2016년 01월,62
J00,10_14세,2016년 01월,19452
J00,5_9세,2016년 01월,51964
J00,5세미만,2016년 01월,142536
J01,10_14세,2016년 01월,36539
J01,5_9세,2016년 01월,104077
J01,5세미만,2016년 01월,158594
J02,10_14세,2016년 01월,27753
J02,5_9세,2016년 01월,66626
J02,5세미만,2016년 01월,131242
J03,10_14세,2016년 01월,40376
J03,5_9세,2016년 01월,87871
J03,5세미만,2016년 01월,120531
J04,10_14세,2016년 01월,18402
J04,5_9세,2016년 01월,31895
J04,5세미만,2016년 01월,36108
J06,10_14세,2016년 01월,31614
J06,5_9세,2016년 01월,68555
J06,5세미만,2016년 01월,152021
K12,10_14세,2016년 01월,4672
K12,5_9세,2016년 01월,6765
K12,5세미만,2016년 01월,5405
H10,10_14세,2016년 02월,16532
H10,5_9세,2016년 02월,29538
H10,5세미만,2016년 02월,46673
H16,10_14세,2016년 02월,4411
H16,5_9세,2016년 02월,4075
H16,5세미만,2016년 02월,4077
H20,10_14세,2016년 02월,130
H20,5_9세,2016년 02월,70
H20,5세미만,2016년 02월,16
H30,10_14세,2016년 02월,20
H30,5_9세,2016년 02월,5
H30,5세미만,2016년 02월,0
H40,10_14세,2016년 02월,539
H40,5_9세,2016년 02월,234
H40,5세미만,2016년 02월,60
J00,10_14세,2016년 02월,24546
J00,5_9세,2016년 02월,62959
J00,5세미만,2016년 02월,153149
J01,10_14세,2016년 02월,35545
J01,5_9세,2016년 02월,112818
J01,5세미만,2016년 02월,170746
J02,10_14세,2016년 02월,37549
J02,5_9세,2016년 02월,86042
J02,5세미만,2016년 02월,145262
J03,10_14세,2016년 02월,54068
J03,5_9세,2016년 02월,110084
J03,5세미만,2016년 02월,128904
J04,10_14세,2016년 02월,22867
J04,5_9세,2016년 02월,37759
J04,5세미만,2016년 02월,38355
J06,10_14세,2016년 02월,42031
J06,5_9세,2016년 02월,87092
J06,5세미만,2016년 02월,165530
K12,10_14세,2016년 02월,4764
K12,5_9세,2016년 02월,6546
K12,5세미만,2016년 02월,5272
H10,10_14세,2016년 03월,18738
H10,5_9세,2016년 03월,32979
H10,5세미만,2016년 03월,53421
H16,10_14세,2016년 03월,5287
H16,5_9세,2016년 03월,4568
H16,5세미만,2016년 03월,4675
H20,10_14세,2016년 03월,142
H20,5_9세,2016년 03월,73
H20,5세미만,2016년 03월,17
H30,10_14세,2016년 03월,12
H30,5_9세,2016년 03월,2
H30,5세미만,2016년 03월,1
H40,10_14세,2016년 03월,467
H40,5_9세,2016년 03월,238
H40,5세미만,2016년 03월,86
J00,10_14세,2016년 03월,35745
J00,5_9세,2016년 03월,73359
J00,5세미만,2016년 03월,195351
J01,10_14세,2016년 03월,50697
J01,5_9세,2016년 03월,130826
J01,5세미만,2016년 03월,221795
J02,10_14세,2016년 03월,58974
J02,5_9세,2016년 03월,96947
J02,5세미만,2016년 03월,162499
J03,10_14세,2016년 03월,81848
J03,5_9세,2016년 03월,117856
J03,5세미만,2016년 03월,135235
J04,10_14세,2016년 03월,34500
J04,5_9세,2016년 03월,44159
J04,5세미만,2016년 03월,46303
J06,10_14세,2016년 03월,63241
J06,5_9세,2016년 03월,98624
J06,5세미만,2016년 03월,201460
K12,10_14세,2016년 03월,3886
K12,5_9세,2016년 03월,6517
K12,5세미만,2016년 03월,5666
H10,10_14세,2016년 04월,33773
H10,5_9세,2016년 04월,58832
H10,5세미만,2016년 04월,73772
H16,10_14세,2016년 04월,6004
H16,5_9세,2016년 04월,6288
H16,5세미만,2016년 04월,5983
H20,10_14세,2016년 04월,179
H20,5_9세,2016년 04월,74
H20,5세미만,2016년 04월,17
H30,10_14세,2016년 04월,9
H30,5_9세,2016년 04월,3
H30,5세미만,2016년 04월,3
H40,10_14세,2016년 04월,476
H40,5_9세,2016년 04월,278
H40,5세미만,2016년 04월,76
J00,10_14세,2016년 04월,27722
J00,5_9세,2016년 04월,57144
J00,5세미만,2016년 04월,169355
J01,10_14세,2016년 04월,48676
J01,5_9세,2016년 04월,117020
J01,5세미만,2016년 04월,209482
J02,10_14세,2016년 04월,44392
J02,5_9세,2016년 04월,76834
J02,5세미만,2016년 04월,150714
J03,10_14세,2016년 04월,61937
J03,5_9세,2016년 04월,94086
J03,5세미만,2016년 04월,132224
J04,10_14세,2016년 04월,28390
J04,5_9세,2016년 04월,36961
J04,5세미만,2016년 04월,43007
J06,10_14세,2016년 04월,49162
J06,5_9세,2016년 04월,77467
J06,5세미만,2016년 04월,176613
K12,10_14세,2016년 04월,3273
K12,5_9세,2016년 04월,6124
K12,5세미만,2016년 04월,5791
H10,10_14세,2016년 05월,28301
H10,5_9세,2016년 05월,54095
H10,5세미만,2016년 05월,73847
H16,10_14세,2016년 05월,6003
H16,5_9세,2016년 05월,6277
H16,5세미만,2016년 05월,5918
H20,10_14세,2016년 05월,184
H20,5_9세,2016년 05월,71
H20,5세미만,2016년 05월,19
H30,10_14세,2016년 05월,13
H30,5_9세,2016년 05월,3
H30,5세미만,2016년 05월,0
H40,10_14세,2016년 05월,494
H40,5_9세,2016년 05월,279
H40,5세미만,2016년 05월,72
J00,10_14세,2016년 05월,19073
J00,5_9세,2016년 05월,47020
J00,5세미만,2016년 05월,159945
J01,10_14세,2016년 05월,34539
J01,5_9세,2016년 05월,94455
J01,5세미만,2016년 05월,182963
J02,10_14세,2016년 05월,31098
J02,5_9세,2016년 05월,64579
J02,5세미만,2016년 05월,160585
J03,10_14세,2016년 05월,44711
J03,5_9세,2016년 05월,85773
J03,5세미만,2016년 05월,156250
J04,10_14세,2016년 05월,19567
J04,5_9세,2016년 05월,30043
J04,5세미만,2016년 05월,41116
J06,10_14세,2016년 05월,33722
J06,5_9세,2016년 05월,64417
J06,5세미만,2016년 05월,171820
K12,10_14세,2016년 05월,3671
K12,5_9세,2016년 05월,7129
K12,5세미만,2016년 05월,9877
H10,10_14세,2016년 06월,28195
H10,5_9세,2016년 06월,50047
H10,5세미만,2016년 06월,64391
H16,10_14세,2016년 06월,6166
H16,5_9세,2016년 06월,5943
H16,5세미만,2016년 06월,5141
H20,10_14세,2016년 06월,204
H20,5_9세,2016년 06월,89
H20,5세미만,2016년 06월,12
H30,10_14세,2016년 06월,10
H30,5_9세,2016년 06월,5
H30,5세미만,2016년 06월,0
H40,10_14세,2016년 06월,454
H40,5_9세,2016년 06월,245
H40,5세미만,2016년 06월,64
J00,10_14세,2016년 06월,15846
J00,5_9세,2016년 06월,41357
J00,5세미만,2016년 06월,144503
J01,10_14세,2016년 06월,24531
J01,5_9세,2016년 06월,65638
J01,5세미만,2016년 06월,129630
J02,10_14세,2016년 06월,28499
J02,5_9세,2016년 06월,69323
J02,5세미만,2016년 06월,177467
J03,10_14세,2016년 06월,42023
J03,5_9세,2016년 06월,98931
J03,5세미만,2016년 06월,185320
J04,10_14세,2016년 06월,15953
J04,5_9세,2016년 06월,23580
J04,5세미만,2016년 06월,33269
J06,10_14세,2016년 06월,28385
J06,5_9세,2016년 06월,57957
J06,5세미만,2016년 06월,156482
K12,10_14세,2016년 06월,4034
K12,5_9세,2016년 06월,9554
K12,5세미만,2016년 06월,20212
H10,10_14세,2016년 07월,32661
H10,5_9세,2016년 07월,63665
H10,5세미만,2016년 07월,64105
H16,10_14세,2016년 07월,5893
H16,5_9세,2016년 07월,6686
H16,5세미만,2016년 07월,5115
H20,10_14세,2016년 07월,170
H20,5_9세,2016년 07월,78
H20,5세미만,2016년 07월,27
H30,10_14세,2016년 07월,15
H30,5_9세,2016년 07월,10
H30,5세미만,2016년 07월,0
H40,10_14세,2016년 07월,518
H40,5_9세,2016년 07월,264
H40,5세미만,2016년 07월,72
J00,10_14세,2016년 07월,15929
J00,5_9세,2016년 07월,46596
J00,5세미만,2016년 07월,145305
J01,10_14세,2016년 07월,22943
J01,5_9세,2016년 07월,66052
J01,5세미만,2016년 07월,116720
J02,10_14세,2016년 07월,29277
J02,5_9세,2016년 07월,84203
J02,5세미만,2016년 07월,190967
J03,10_14세,2016년 07월,43554
J03,5_9세,2016년 07월,121734
J03,5세미만,2016년 07월,198614
J04,10_14세,2016년 07월,14850
J04,5_9세,2016년 07월,25179
J04,5세미만,2016년 07월,32903
J06,10_14세,2016년 07월,27994
J06,5_9세,2016년 07월,67610
J06,5세미만,2016년 07월,162440
K12,10_14세,2016년 07월,4488
K12,5_9세,2016년 07월,9669
K12,5세미만,2016년 07월,18521
H10,10_14세,2016년 08월,45705
H10,5_9세,2016년 08월,81139
H10,5세미만,2016년 08월,72252
H16,10_14세,2016년 08월,7087
H16,5_9세,2016년 08월,8224
H16,5세미만,2016년 08월,5857
H20,10_14세,2016년 08월,159
H20,5_9세,2016년 08월,76
H20,5세미만,2016년 08월,19
