"시점","행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명)
"2016","충청남도","45~49세",172448,91787,80661
"2016","충청남도","50~54세",157710,83553,74157
"2016","충청남도","55~59세",162864,83190,79674
"2016","충청남도","60~64세",123639,61406,62233
"2016","충청남도","15세미만",292661,150964,141697
"2016","충청남도","65세이상",340685,142635,198050
"2016","전라북도","합계",1833168,915493,917675
"2016","전라북도","15~19세",120958,63887,57071
"2016","전라북도","20~24세",128596,70624,57972
"2016","전라북도","25~29세",97731,52950,44781
"2016","전라북도","30~34세",103957,54309,49648
"2016","전라북도","35~39세",120642,62417,58225
"2016","전라북도","40~44세",136336,70471,65865
"2016","전라북도","45~49세",149650,77422,72228
"2016","전라북도","50~54세",141728,73288,68440
"2016","전라북도","55~59세",148028,73974,74054
"2016","전라북도","60~64세",114907,56920,57987
"2016","전라북도","15세미만",238623,123331,115292
"2016","전라북도","65세이상",332012,135900,196112
"2016","전라남도","합계",1796017,901500,894517
"2016","전라남도","15~19세",107750,57555,50195
"2016","전라남도","20~24세",101073,58731,42342
"2016","전라남도","25~29세",84706,46084,38622
"2016","전라남도","30~34세",99547,52943,46604
"2016","전라남도","35~39세",114648,60637,54011
"2016","전라남도","40~44세",126353,67487,58866
"2016","전라남도","45~49세",145244,77597,67647
"2016","전라남도","50~54세",143411,76193,67218
"2016","전라남도","55~59세",151448,76939,74509
"2016","전라남도","60~64세",114484,56849,57635
"2016","전라남도","15세미만",231160,118878,112282
"2016","전라남도","65세이상",376193,151607,224586
"2016","경상북도","합계",2682169,1354997,1327172
"2016","경상북도","15~19세",158144,85047,73097
"2016","경상북도","20~24세",173588,98237,75351
"2016","경상북도","25~29세",148881,84582,64299
"2016","경상북도","30~34세",165123,89308,75815
"2016","경상북도","35~39세",182569,96826,85743
"2016","경상북도","40~44세",194693,101680,93013
"2016","경상북도","45~49세",217960,112990,104970
"2016","경상북도","50~54세",216891,112019,104872
"2016","경상북도","55~59세",230618,116305,114313
"2016","경상북도","60~64세",184790,90674,94116
"2016","경상북도","15세미만",329868,171857,158011
"2016","경상북도","65세이상",479044,195472,283572
"2016","경상남도","합계",3339633,1701849,1637784
"2016","경상남도","15~19세",199413,106634,92779
"2016","경상남도","20~24세",205082,118416,86666
"2016","경상남도","25~29세",190435,108016,82419
"2016","경상남도","30~34세",226227,123978,102249
"2016","경상남도","35~39세",260054,138078,121976
"2016","경상남도","40~44세",270635,141078,129557
"2016","경상남도","45~49세",297162,151815,145347
"2016","경상남도","50~54세",272906,140932,131974
"2016","경상남도","55~59세",276978,139961,137017
"2016","경상남도","60~64세",203934,101137,102797
"2016","경상남도","15세미만",469861,243743,226118
"2016","경상남도","65세이상",466946,188061,278885
"2016","제주특별자치도","합계",623332,314133,309199
"2016","제주특별자치도","15~19세",39089,20509,18580
"2016","제주특별자치도","20~24세",39452,21625,17827
"2016","제주특별자치도","25~29세",34342,17920,16422
"2016","제주특별자치도","30~34세",40097,20695,19402
"2016","제주특별자치도","35~39세",47616,24494,23122
"2016","제주특별자치도","40~44세",52708,27558,25150
"2016","제주특별자치도","45~49세",55643,29010,26633
"2016","제주특별자치도","50~54세",50250,26177,24073
"2016","제주특별자치도","55~59세",46084,23355,22729
"2016","제주특별자치도","60~64세",34033,16786,17247
"2016","제주특별자치도","15세미만",97294,50620,46674
"2016","제주특별자치도","65세이상",86724,35384,51340
"2017","전국","합계",51422507,25768055,25654452
"2017","전국","15~19세",2922140,1523741,1398399
"2017","전국","20~24세",3517690,1872652,1645038
"2017","전국","25~29세",3407757,1815686,1592071
"2017","전국","30~34세",3447773,1804860,1642913
"2017","전국","35~39세",4070681,2100211,1970470
"2017","전국","40~44세",4037048,2060634,1976414
"2017","전국","45~49세",4532957,2295736,2237221
"2017","전국","50~54세",4122551,2082358,2040193
"2017","전국","55~59세",4258232,2120781,2137451
"2017","전국","60~64세",3251699,1596954,1654745
"2017","전국","15세미만",6682752,3441958,3240794
"2017","전국","65세이상",7171227,3052484,4118743
"2017","서울특별시","합계",9741871,4757642,4984229
"2017","서울특별시","15~19세",496075,251735,244340
"2017","서울특별시","20~24세",699945,338539,361406
"2017","서울특별시","25~29세",777218,383505,393713
"2017","서울특별시","30~34세",766607,384052,382555
"2017","서울특별시","35~39세",806213,407731,398482
"2017","서울특별시","40~44세",756546,378503,378043
"2017","서울특별시","45~49세",847475,419571,427904
"2017","서울특별시","50~54세",756194,370127,386067
"2017","서울특별시","55~59세",790279,378648,411631
"2017","서울특별시","60~64세",645887,306492,339395
"2017","서울특별시","15세미만",1089367,559449,529918
"2017","서울특별시","65세이상",1310065,579290,730775
"2017","부산광역시","합계",3416918,1680933,1735985
"2017","부산광역시","15~19세",182238,95018,87220
"2017","부산광역시","20~24세",240049,126463,113586
"2017","부산광역시","25~29세",218670,115467,103203
"2017","부산광역시","30~34세",208550,107923,100627
"2017","부산광역시","35~39세",255424,131196,124228
"2017","부산광역시","40~44세",244934,123941,120993
"2017","부산광역시","45~49세",282671,139262,143409
"2017","부산광역시","50~54세",270775,130892,139883
"2017","부산광역시","55~59세",313603,149182,164421
"2017","부산광역시","60~64세",264249,125995,138254
"2017","부산광역시","15세미만",385021,198417,186604
"2017","부산광역시","65세이상",550734,237177,313557
"2017","대구광역시","합계",2453041,1218326,1234715
"2017","대구광역시","15~19세",147500,77903,69597
"2017","대구광역시","20~24세",174218,94590,79628
"2017","대구광역시","25~29세",155003,85155,69848
"2017","대구광역시","30~34세",146261,76811,69450
"2017","대구광역시","35~39세",180724,90576,90148
"2017","대구광역시","40~44세",191103,94604,96499
"2017","대구광역시","45~49세",224449,110254,114195
"2017","대구광역시","50~54세",208698,102629,106069
"2017","대구광역시","55~59세",211613,103733,107880
"2017","대구광역시","60~64세",160684,77547,83137
"2017","대구광역시","15세미만",310683,160672,150011
"2017","대구광역시","65세이상",342105,143852,198253
"2017","인천광역시","합계",2925967,1472081,1453886
"2017","인천광역시","15~19세",162955,84290,78665
"2017","인천광역시","20~24세",197084,104667,92417
"2017","인천광역시","25~29세",204316,107177,97139
"2017","인천광역시","30~34세",204842,107338,97504
"2017","인천광역시","35~39세",245608,127772,117836
"2017","인천광역시","40~44세",236594,121708,114886
"2017","인천광역시","45~49세",264819,132593,132226
"2017","인천광역시","50~54세",248976,124334,124642
"2017","인천광역시","55~59세",253235,127747,125488
"2017","인천광역시","60~64세",175988,87511,88477
"2017","인천광역시","15세미만",391947,201105,190842
"2017","인천광역시","65세이상",339603,145839,193764
"2017","광주광역시","합계",1496172,745122,751050
"2017","광주광역시","15~19세",101974,52426,49548
"2017","광주광역시","20~24세",119367,62113,57254
"2017","광주광역시","25~29세",97045,50937,46108
"2017","광주광역시","30~34세",95426,49153,46273
"2017","광주광역시","35~39세",118159,59325,58834
